order_id,customer_id,product_name,category,quantity,unit_price,total_amount,discount_rate,final_amount,order_date,region,sales_rep,is_priority,status
ORD-000001,CUST-0298,Smartphone X,Accessories,2,1505.05,3010.1,0.02,2949.9,2024-11-15,Middle East,Alice Johnson,0,shipped
ORD-000002,CUST-0331,Graphics Card,Accessories,8,702.61,5620.88,0.168,4676.57,2024-07-28,Asia Pacific,Bob Smith,1,delivered
ORD-000003,CUST-0165,Hard Drive 1TB,Computers,1,965.15,965.15,0.145,825.2,2024-10-18,Europe,Eve Brown,1,processing
ORD-000004,CUST-0232,Gaming Mouse,Computers,4,1046.41,4185.64,0.094,3792.19,2024-07-31,Middle East,Jack Anderson,1,delivered
ORD-000005,CUST-0401,Graphics Card,Gaming,6,275.72,1654.32,0.07,1538.52,2024-10-22,Asia Pacific,Bob Smith,0,delivered
ORD-000006,CUST-0027,Hard Drive 1TB,Electronics,9,1808.71,16278.39,0.018,15985.38,2024-03-09,Europe,Henry Taylor,1,shipped
ORD-000007,CUST-0079,Hard Drive 1TB,Gaming,9,1824.72,16422.48,0.034,15864.12,2024-04-05,North America,Bob Smith,0,pending
ORD-000008,CUST-0310,Router WiFi,Electronics,6,1832.27,10993.62,0.062,10312.02,2024-02-10,Europe,Alice Johnson,1,shipped
ORD-000009,CUST-0445,SSD 500GB,Computers,1,84.5,84.5,0.075,78.16,2024-01-06,Europe,Ivy Wang,0,shipped
ORD-000010,CUST-0196,Hard Drive 1TB,Electronics,7,1696.26,11873.82,0.108,10591.45,2024-05-25,Latin America,Henry Taylor,0,delivered
ORD-000011,CUST-0254,Smart Watch,Audio,2,1749.76,3499.52,0.1,3149.57,2024-04-06,Latin America,Frank Miller,0,delivered
ORD-000012,CUST-0266,Wireless Headphones,Electronics,10,411.63,4116.3,0.13,3581.18,2024-01-19,Latin America,Carol Davis,1,processing
ORD-000013,CUST-0053,Wireless Headphones,Gaming,3,229.03,687.09,0.195,553.11,2024-07-30,North America,Carol Davis,1,delivered
ORD-000014,CUST-0152,Tablet Ultra,Accessories,1,1080.91,1080.91,0.054,1022.54,2024-07-23,North America,Eve Brown,1,processing
ORD-000015,CUST-0471,Webcam HD,Computers,9,1208.94,10880.46,0.107,9716.25,2024-05-04,North America,Eve Brown,1,shipped
ORD-000016,CUST-0155,Smart Watch,Accessories,7,1253.09,8771.63,0.179,7201.51,2024-10-06,Latin America,Carol Davis,1,cancelled
ORD-000017,CUST-0114,Wireless Headphones,Accessories,3,555.66,1666.98,0.007,1655.31,2024-11-30,Asia Pacific,Bob Smith,0,shipped
ORD-000018,CUST-0480,Webcam HD,Electronics,2,427.43,854.86,0.127,746.29,2024-07-19,Latin America,Grace Chen,1,delivered
ORD-000019,CUST-0427,Smartphone X,Gaming,10,1902.63,19026.3,0.083,17447.12,2024-01-20,Europe,Bob Smith,1,pending
ORD-000020,CUST-0153,Processor Intel,Electronics,6,1287.83,7726.98,0.16,6490.66,2024-12-08,North America,Jack Anderson,1,processing
ORD-000021,CUST-0221,Hard Drive 1TB,Gaming,9,1126.25,10136.25,0.134,8777.99,2024-02-28,Europe,Jack Anderson,0,shipped
ORD-000022,CUST-0221,Processor Intel,Electronics,5,1706.36,8531.8,0.062,8002.83,2024-10-12,Asia Pacific,Eve Brown,1,shipped
ORD-000023,CUST-0096,Speaker Bluetooth,Computers,4,734.75,2939.0,0.184,2398.22,2024-09-22,Europe,Carol Davis,0,cancelled
ORD-000024,CUST-0232,Tablet Ultra,Electronics,3,1689.31,5067.93,0.037,4880.42,2024-07-17,Middle East,Grace Chen,0,cancelled
ORD-000025,CUST-0215,Keyboard Mechanical,Gaming,1,784.48,784.48,0.085,717.8,2024-01-16,Middle East,Grace Chen,0,shipped
ORD-000026,CUST-0457,Tablet Ultra,Electronics,5,159.12,795.6,0.117,702.51,2024-11-05,Asia Pacific,Bob Smith,1,shipped
ORD-000027,CUST-0157,Tablet Ultra,Computers,2,909.03,1818.06,0.054,1719.88,2024-01-10,Asia Pacific,Grace Chen,0,shipped
ORD-000028,CUST-0116,Smartphone X,Electronics,5,989.16,4945.8,0.134,4283.06,2024-04-09,Asia Pacific,Jack Anderson,0,shipped
ORD-000029,CUST-0148,Monitor 4K,Accessories,1,128.42,128.42,0.179,105.43,2024-11-28,Europe,Bob Smith,0,processing
ORD-000030,CUST-0077,Router WiFi,Accessories,6,435.24,2611.44,0.037,2514.82,2024-03-07,Latin America,David Wilson,0,shipped
ORD-000031,CUST-0060,Hard Drive 1TB,Audio,1,967.61,967.61,0.096,874.72,2024-12-21,North America,David Wilson,0,delivered
ORD-000032,CUST-0070,"Laptop Pro 15""",Accessories,1,1764.24,1764.24,0.058,1661.91,2024-06-06,Europe,Grace Chen,0,shipped
ORD-000033,CUST-0026,Smartphone X,Gaming,10,441.22,4412.2,0.122,3873.91,2024-03-27,Europe,Frank Miller,1,processing
