order_id,customer_id,product_name,category,quantity,unit_price,total_amount,discount_rate,final_amount,order_date,region,sales_rep,is_priority,status
ORD-000001,CUST-0274,Keyboard Mechanical,Gaming,9,614.19,5527.71,0.134,4787.0,2024-06-05,Middle East,Ivy Wang,1,shipped
ORD-000002,CUST-0438,Gaming Mouse,Accessories,5,906.36,4531.8,0.086,4142.07,2024-08-20,Asia Pacific,Eve Brown,0,cancelled
ORD-000003,CUST-0169,Router WiFi,Computers,7,862.62,6038.34,0.083,5537.16,2024-12-18,Asia Pacific,Ivy Wang,0,pending
ORD-000004,CUST-0301,Smartphone X,Accessories,8,1157.46,9259.68,0.121,8139.26,2024-01-21,Europe,Bob Smith,1,delivered
ORD-000005,CUST-0038,Speaker Bluetooth,Electronics,8,599.22,4793.76,0.046,4573.25,2024-09-15,North America,Jack Anderson,0,delivered
ORD-000006,CUST-0305,Router WiFi,Computers,10,1445.41,14454.1,0.101,12994.24,2024-01-04,Middle East,Alice Johnson,1,delivered
ORD-000007,CUST-0219,SSD 500GB,Accessories,3,1941.78,5825.34,0.025,5679.71,2024-08-25,Asia Pacific,Henry Taylor,0,cancelled
ORD-000008,CUST-0308,Webcam HD,Accessories,10,237.19,2371.9,0.096,2144.2,2024-06-26,Europe,Alice Johnson,1,cancelled
ORD-000009,CUST-0047,Smart Watch,Gaming,1,935.71,935.71,0.011,925.42,2024-12-23,Asia Pacific,Henry Taylor,0,pending
ORD-000010,CUST-0071,Smart Watch,Audio,6,464.94,2789.64,0.043,2669.69,2024-01-30,Middle East,David Wilson,0,cancelled
ORD-000011,CUST-0089,Smart Watch,Computers,7,1304.14,9128.98,0.196,7339.7,2024-05-15,Asia Pacific,Grace Chen,0,processing
ORD-000012,CUST-0345,Speaker Bluetooth,Computers,1,731.4,731.4,0.081,672.16,2024-11-03,Middle East,Henry Taylor,0,processing
ORD-000013,CUST-0022,Speaker Bluetooth,Gaming,3,1792.46,5377.38,0.132,4667.57,2024-01-05,Latin America,Frank Miller,0,delivered
ORD-000014,CUST-0280,Processor Intel,Electronics,10,885.64,8856.4,0.087,8085.89,2024-12-05,Latin America,Henry Taylor,0,processing
ORD-000015,CUST-0121,Processor Intel,Computers,4,331.32,1325.28,0.194,1068.18,2024-03-26,Latin America,Henry Taylor,0,pending
ORD-000016,CUST-0296,Webcam HD,Electronics,5,253.01,1265.05,0.093,1147.4,2024-10-25,Middle East,Carol Davis,1,processing
ORD-000017,CUST-0367,Gaming Mouse,Electronics,5,973.74,4868.7,0.128,4245.51,2024-08-17,North America,Bob Smith,1,processing
ORD-000018,CUST-0198,Wireless Headphones,Electronics,7,324.95,2274.65,0.158,1915.26,2024-10-18,Asia Pacific,David Wilson,1,processing
ORD-000019,CUST-0235,Gaming Mouse,Electronics,2,744.38,1488.76,0.185,1213.34,2024-02-26,Europe,Frank Miller,0,pending
ORD-000020,CUST-0196,Smartphone X,Computers,5,1674.99,8374.95,0.147,7143.83,2024-09-15,Asia Pacific,David Wilson,0,processing
ORD-000021,CUST-0085,Router WiFi,Computers,2,449.07,898.14,0.082,824.49,2024-01-21,North America,Alice Johnson,1,pending
ORD-000022,CUST-0107,Graphics Card,Audio,5,1009.7,5048.5,0.194,4069.09,2024-04-13,North America,David Wilson,0,delivered
ORD-000023,CUST-0018,Smart Watch,Gaming,1,1304.91,1304.91,0.106,1166.59,2024-05-31,Asia Pacific,Henry Taylor,1,processing
ORD-000024,CUST-0194,Webcam HD,Audio,2,1404.26,2808.52,0.103,2519.24,2024-12-30,Latin America,Bob Smith,1,shipped
ORD-000025,CUST-0037,Wireless Headphones,Electronics,5,655.09,3275.45,0.03,3177.19,2024-12-20,Europe,David Wilson,1,cancelled
ORD-000026,CUST-0047,Graphics Card,Accessories,7,1391.23,9738.61,0.185,7936.97,2024-04-04,Europe,Jack Anderson,1,cancelled
ORD-000027,CUST-0404,Keyboard Mechanical,Electronics,1,486.61,486.61,0.065,454.98,2024-09-18,Middle East,David Wilson,0,shipped
ORD-000028,CUST-0273,Router WiFi,Gaming,10,1184.49,11844.9,0.022,11584.31,2024-03-12,Latin America,Henry Taylor,1,pending
ORD-000029,CUST-0302,Graphics Card,Electronics,2,1164.55,2329.1,0.133,2019.33,2024-01-22,Europe,Alice Johnson,0,processing
ORD-000030,CUST-0409,Smartphone X,Accessories,10,1577.59,15775.9,0.178,12967.79,2024-09-12,Asia Pacific,David Wilson,0,shipped
ORD-000031,CUST-0045,Webcam HD,Gaming,1,786.72,786.72,0.014,775.71,2024-02-13,North America,Grace Chen,1,shipped
ORD-000032,CUST-0092,Tablet Ultra,Electronics,8,130.6,1044.8,0.098,942.41,2024-03-01,North America,David Wilson,1,shipped
ORD-000033,CUST-0424,Gaming Mouse,Computers,7,1414.41,9900.87,0.104,8871.18,2024-10-20,Europe,Grace Chen,1,pending
ORD-000034,CUST-0313,Speaker Bluetooth,Gaming,4,528.67,2114.68,0.192,1708.66,2024-03-19,Europe,Frank Miller,0,pending
ORD-000035,CUST-0213,Gaming Mouse,Accessories,5,49.62,248.1,0.033,239.91,2024-02-26,Europe,Grace Chen,0,delivered
ORD-000036,CUST-0401,Speaker Bluetooth,Accessories,5,1438.24,7191.2,0.145,6148.48,2024-11-06,Middle East,Ivy Wang,1,shipped
ORD-000037,CUST-0223,Webcam HD,Accessories,6,333.03,1998.18,0.073,1852.31,2024-02-19,Europe,Grace Chen,1,pending
ORD-000038,CUST-0496,Hard Drive 1TB,Electronics,10,1330.38,13303.8,0.086,12159.67,2024-07-30,North America,Ivy Wang,1,cancelled
